Year,Age,Level,Employer,Role,Coach
1973,43,NFL,San Diego Chargers,Head Coach,Harland Svare
1962,32,NFL,Chicago Bears,Defensive Assistant,Jim Dooley
1963,33,NFL,Chicago Bears,Receivers,Jim Dooley
1964,34,NFL,Chicago Bears,Receivers,Jim Dooley
1965,35,NFL,Chicago Bears,Receivers,Jim Dooley
1966,36,NFL,Chicago Bears,Defensive Coordinator,Jim Dooley
1967,37,NFL,Chicago Bears,Defensive Coordinator,Jim Dooley
1968,38,NFL,Chicago Bears,Head Coach,Jim Dooley
1969,39,NFL,Chicago Bears,Head Coach,Jim Dooley
1970,40,NFL,Chicago Bears,Head Coach,Jim Dooley
1971,41,NFL,Chicago Bears,Head Coach,Jim Dooley
1972,42,NFL,Buffalo Bills,Linebackers,Jim Dooley
1981,51,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1982,52,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1983,53,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1984,54,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1985,55,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1986,56,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1987,57,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1988,58,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1989,59,NFL,Chicago Bears,Offensive Consultant,Jim Dooley
1914,23,College,Dubuque,Head Coach,Gus Dorais
1915,24,College,Dubuque,Head Coach,Gus Dorais
1916,25,College,Dubuque,Head Coach,Gus Dorais
1917,26,College,Dubuque,Head Coach,Gus Dorais
1918,27,College,Notre Dame,Backfield Coach,Gus Dorais
1919,28,College,Notre Dame,Backfield Coach,Gus Dorais
1920,29,College,Gonzaga,Head Coach,Gus Dorais
1921,30,College,Gonzaga,Head Coach,Gus Dorais
1922,31,College,Gonzaga,Head Coach,Gus Dorais
1923,32,College,Gonzaga,Head Coach,Gus Dorais
1924,33,College,Gonzaga,Head Coach,Gus Dorais
1925,34,College,Univ. of Detroit,Head Coach,Gus Dorais
1926,35,College,Univ. of Detroit,Head Coach,Gus Dorais
1927,36,College,Univ. of Detroit,Head Coach,Gus Dorais
1928,37,College,Univ. of Detroit,Head Coach,Gus Dorais
1929,38,College,Univ. of Detroit,Head Coach,Gus Dorais
1930,39,College,Univ. of Detroit,Head Coach,Gus Dorais
1931,40,College,Univ. of Detroit,Head Coach,Gus Dorais
1932,41,College,Univ. of Detroit,Head Coach,Gus Dorais
1933,42,College,Univ. of Detroit,Head Coach,Gus Dorais
1934,43,College,Univ. of Detroit,Head Coach,Gus Dorais
1935,44,College,Univ. of Detroit,Head Coach,Gus Dorais
1936,45,College,Univ. of Detroit,Head Coach,Gus Dorais
1937,46,College,Univ. of Detroit,Head Coach,Gus Dorais
1938,47,College,Univ. of Detroit,Head Coach,Gus Dorais
1939,48,College,Univ. of Detroit,Head Coach,Gus Dorais
1940,49,College,Univ. of Detroit,Head Coach,Gus Dorais
1941,50,College,Univ. of Detroit,Head Coach,Gus Dorais
1942,51,College,Univ. of Detroit,Head Coach,Gus Dorais
1943,52,NFL,Detroit Lions,Head Coach,Gus Dorais
1944,53,NFL,Detroit Lions,Head Coach,Gus Dorais
1945,54,NFL,Detroit Lions,Head Coach,Gus Dorais
1946,55,NFL,Detroit Lions,Head Coach,Gus Dorais
1947,56,NFL,Detroit Lions,Head Coach,Gus Dorais
1952,61,NFL,Pittsburgh Steelers,Backfield Coach,Gus Dorais
1938,22,College,Pittsburgh,Backfield Coach,John Michelosen
1939,23,College,Pittsburgh,Backfield Coach,John Michelosen
1940,24,NFL,Brooklyn Dodgers,Backfield Coach,John Michelosen
1941,25,NFL,Brooklyn Dodgers,Backfield Coach,John Michelosen
1946,30,NFL,Pittsburgh Steelers,Backfield Coach,John Michelosen
1947,31,NFL,Pittsburgh Steelers,Backfield Coach,John Michelosen
1948,32,NFL,Pittsburgh Steelers,Head Coach,John Michelosen
1949,33,NFL,Pittsburgh Steelers,Head Coach,John Michelosen
1950,34,NFL,Pittsburgh Steelers,Head Coach,John Michelosen
1951,35,NFL,Pittsburgh Steelers,Head Coach,John Michelosen
1952,36,College,Pittsburgh,Backfield Coach,John Michelosen
1953,37,College,Pittsburgh,Backfield Coach,John Michelosen
1954,38,College,Pittsburgh,Backfield Coach,John Michelosen
1955,39,College,Pittsburgh,Head Coach,John Michelosen
1956,40,College,Pittsburgh,Head Coach,John Michelosen
1957,41,College,Pittsburgh,Head Coach,John Michelosen
1958,42,College,Pittsburgh,Head Coach,John Michelosen
1959,43,College,Pittsburgh,Head Coach,John Michelosen
1960,44,College,Pittsburgh,Head Coach,John Michelosen
1961,45,College,Pittsburgh,Head Coach,John Michelosen
1962,46,College,Pittsburgh,Head Coach,John Michelosen
1963,47,College,Pittsburgh,Head Coach,John Michelosen
1964,48,College,Pittsburgh,Head Coach,John Michelosen
1965,49,College,Pittsburgh,Head Coach,John Michelosen
1947,35,NFL,Los Angeles Rams,Line Coach,Joe Stydahar
1948,36,NFL,Los Angeles Rams,Line Coach,Joe Stydahar
1949,37,NFL,Los Angeles Rams,Line Coach,Joe Stydahar
1950,38,NFL,Los Angeles Rams,Head Coach,Joe Stydahar
1951,39,NFL,Los Angeles Rams,Head Coach,Joe Stydahar
1952,40,NFL,Los Angeles Rams,Head Coach,Joe Stydahar
1953,41,NFL,Chicago Cardinals,Head Coach,Joe Stydahar
1954,42,NFL,Chicago Cardinals,Head Coach,Joe Stydahar
1963,51,NFL,Chicago Bears,Defensive Line,Joe Stydahar
1964,52,NFL,Chicago Bears,Defensive Line,Joe Stydahar
1955,35,NFL,San Francisco 49ers,Backfield Coach/Scout,Frankie Albert
1956,36,NFL,San Francisco 49ers,Head Coach,Frankie Albert
1957,37,NFL,San Francisco 49ers,Head Coach,Frankie Albert
1958,38,NFL,San Francisco 49ers,Head Coach,Frankie Albert
1932,26,College,Minnesota,Backfield Coach,Red Dawson
1933,27,College,Minnesota,Backfield Coach,Red Dawson
1934,28,College,Minnesota,Backfield Coach,Red Dawson
1935,29,College,Minnesota,Backfield Coach,Red Dawson
1936,30,College,Tulane,Head Coach,Red Dawson
1937,31,College,Tulane,Head Coach,Red Dawson
1938,32,College,Tulane,Head Coach,Red Dawson
1939,33,College,Tulane,Head Coach,Red Dawson
1940,34,College,Tulane,Head Coach,Red Dawson
1941,35,College,Tulane,Head Coach,Red Dawson
1942,36,College,Minnesota,Backfield Coach,Red Dawson
1943,37,College,Minnesota,Backfield Coach,Red Dawson
1944,38,College,Minnesota,Backfield Coach,Red Dawson
1945,39,College,Minnesota,Backfield Coach,Red Dawson
1946,40,NFL,Buffalo Bisons,Head Coach,Red Dawson
1947,41,NFL,Buffalo Bills,Head Coach,Red Dawson
1948,42,NFL,Buffalo Bills,Head Coach,Red Dawson
1949,43,NFL,Buffalo Bills,Head Coach,Red Dawson
1950,44,College,Michigan State,Backfield Coach,Red Dawson
1951,45,College,Michigan State,Backfield Coach,Red Dawson
1952,46,College,Pittsburgh,Head Coach,Red Dawson
1953,47,College,Pittsburgh,Head Coach,Red Dawson
1954,48,College,Pittsburgh,Head Coach,Red Dawson
1979,21,High School,Dunmore (PA),Linebackers,Vic Fangio
1980,22,High School,Dunmore (PA),Defensive Coordinator,Vic Fangio
1981,23,High School,Dunmore (PA),Defensive Coordinator,Vic Fangio
1982,24,High School,Milford (CT) Academy,Defensive Coordinator,Vic Fangio
1983,25,College (FBS),North Carolina,Graduate Assistant,Vic Fangio
1984,26,USFL,Philadelphia Stars,Defensive Asst.,Vic Fangio
1985,27,USFL,Philadelphia Stars,Defensive Asst.,Vic Fangio
1986,28,NFL,New Orleans Saints,Linebackers,Vic Fangio
1987,29,NFL,New Orleans Saints,Linebackers,Vic Fangio
1988,30,NFL,New Orleans Saints,Linebackers,Vic Fangio
1989,31,NFL,New Orleans Saints,Linebackers,Vic Fangio
1990,32,NFL,New Orleans Saints,Linebackers,Vic Fangio
1991,33,NFL,New Orleans Saints,Linebackers,Vic Fangio
1992,34,NFL,New Orleans Saints,Linebackers,Vic Fangio
1993,35,NFL,New Orleans Saints,Linebackers,Vic Fangio
1994,36,NFL,New Orleans Saints,Linebackers,Vic Fangio
1995,37,NFL,Carolina Panthers,Defensive Coordinator,Vic Fangio
1996,38,NFL,Carolina Panthers,Defensive Coordinator,Vic Fangio
1997,39,NFL,Carolina Panthers,Defensive Coordinator,Vic Fangio
1998,40,NFL,Carolina Panthers,Defensive Coordinator,Vic Fangio
1999,41,NFL,Indianapolis Colts,Defensive Coordinator,Vic Fangio
2000,42,NFL,Indianapolis Colts,Defensive Coordinator,Vic Fangio
2001,43,NFL,Indianapolis Colts,Defensive Coordinator,Vic Fangio
2002,44,NFL,Houston Texans,Defensive Coordinator,Vic Fangio
2003,45,NFL,Houston Texans,Defensive Coordinator,Vic Fangio
2004,46,NFL,Houston Texans,Defensive Coordinator,Vic Fangio
2005,47,NFL,Houston Texans,Defensive Coordinator,Vic Fangio
2006,48,NFL,Baltimore Ravens,Linebackers,Vic Fangio
2007,49,NFL,Baltimore Ravens,Linebackers,Vic Fangio
2008,50,NFL,Baltimore Ravens,Linebackers,Vic Fangio
2009,51,NFL,Baltimore Ravens,Linebackers,Vic Fangio
2010,52,College (FBS),Stanford,Defensive Coordinator,Vic Fangio
2011,53,NFL,San Francisco 49ers,Defensive Coordinator,Vic Fangio
2012,54,NFL,San Francisco 49ers,Defensive Coordinator,Vic Fangio
2013,55,NFL,San Francisco 49ers,Defensive Coordinator,Vic Fangio
2014,56,NFL,San Francisco 49ers,Defensive Coordinator,Vic Fangio
2015,57,NFL,Chicago Bears,Defensive Coordinator,Vic Fangio
2016,58,NFL,Chicago Bears,Defensive Coordinator,Vic Fangio
2017,59,NFL,Chicago Bears,Defensive Coordinator,Vic Fangio
2018,60,NFL,Chicago Bears,Defensive Coordinator,Vic Fangio
2019,61,NFL,Denver Broncos,Head Coach,Vic Fangio
2020,62,NFL,Denver Broncos,Head Coach,Vic Fangio
2021,63,NFL,Denver Broncos,Head Coach,Vic Fangio
1997,30,NFL,New York Jets,Offensive Assistant/Quality Control,Todd Haley
1998,31,NFL,New York Jets,Offensive Assistant/Quality Control,Todd Haley
1999,32,NFL,New York Jets,Wide Receivers,Todd Haley
2000,33,NFL,New York Jets,Wide Receivers,Todd Haley
2001,34,NFL,Chicago Bears,Wide Receivers,Todd Haley
2002,35,NFL,Chicago Bears,Wide Receivers,Todd Haley
2003,36,NFL,Chicago Bears,Wide Receivers,Todd Haley
2004,37,NFL,Dallas Cowboys,Wide Receivers/Passing Game Coordinator,Todd Haley
2005,38,NFL,Dallas Cowboys,Wide Receivers/Passing Game Coordinator,Todd Haley
2006,39,NFL,Dallas Cowboys,Wide Receivers/Passing Game Coordinator,Todd Haley
2007,40,NFL,Arizona Cardinals,Offensive Coordinator,Todd Haley
2008,41,NFL,Arizona Cardinals,Offensive Coordinator,Todd Haley
2009,42,NFL,Kansas City Chiefs,Head Coach,Todd Haley
2010,43,NFL,Kansas City Chiefs,Head Coach,Todd Haley
2011,44,NFL,Kansas City Chiefs,Head Coach,Todd Haley
2012,45,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2013,46,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2014,47,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2015,48,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2016,49,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2017,50,NFL,Pittsburgh Steelers,Offensive Coordinator,Todd Haley
2018,51,NFL,Cleveland Browns,Offensive Coordinator,Todd Haley
2020,53,High School,Riverview HS (Sarasota FL),Offensive Coordinator,Todd Haley
2021,54,High School,Riverview HS (Sarasota FL),Offensive Coordinator,Todd Haley
1983,24,High School,Highland (ID),Head Coach,Dirk Koetter
1984,25,High School,Highland (ID),Head Coach,Dirk Koetter
1985,26,College (NCAA D-II),San Francisco State,Offensive Coordinator,Dirk Koetter
1986,27,College (FBS),UTEP,Offensive Coordinator/Quarterbacks,Dirk Koetter
1987,28,College (FBS),UTEP,Offensive Coordinator/Quarterbacks,Dirk Koetter
1988,29,College (FBS),UTEP,Offensive Coordinator/Quarterbacks,Dirk Koetter
1989,30,College (FBS),Missouri,Offensive Coordinator/Quarterbacks,Dirk Koetter
1990,31,College (FBS),Missouri,Offensive Coordinator/Quarterbacks,Dirk Koetter
1991,32,College (FBS),Missouri,Offensive Coordinator/Quarterbacks,Dirk Koetter
1992,33,College (FBS),Missouri,Offensive Coordinator/Quarterbacks,Dirk Koetter
1993,34,College (FBS),Missouri,Offensive Coordinator/Quarterbacks,Dirk Koetter
1994,35,College (FBS),Boston College,Offensive Coordinator,Dirk Koetter
1995,36,College (FBS),Boston College,Offensive Coordinator,Dirk Koetter
1996,37,College (FBS),Oregon,Offensive Coordinator,Dirk Koetter
1997,38,College (FBS),Oregon,Offensive Coordinator,Dirk Koetter
1998,39,College (FBS),Boise State,Head Coach,Dirk Koetter
1999,40,College (FBS),Boise State,Head Coach,Dirk Koetter
2000,41,College (FBS),Boise State,Head Coach,Dirk Koetter
2001,42,College (FBS),Arizona State,Head Coach,Dirk Koetter
2002,43,College (FBS),Arizona State,Head Coach,Dirk Koetter
2003,44,College (FBS),Arizona State,Head Coach,Dirk Koetter
2004,45,College (FBS),Arizona State,Head Coach,Dirk Koetter
2005,46,College (FBS),Arizona State,Head Coach,Dirk Koetter
2006,47,College (FBS),Arizona State,Head Coach,Dirk Koetter
2007,48,NFL,Jacksonville Jaguars,Offensive Coordinator,Dirk Koetter
2008,49,NFL,Jacksonville Jaguars,Offensive Coordinator,Dirk Koetter
2009,50,NFL,Jacksonville Jaguars,Offensive Coordinator,Dirk Koetter
2010,51,NFL,Jacksonville Jaguars,Offensive Coordinator,Dirk Koetter
2011,52,NFL,Jacksonville Jaguars,Offensive Coordinator,Dirk Koetter
2012,53,NFL,Atlanta Falcons,Offensive Coordinator,Dirk Koetter
2013,54,NFL,Atlanta Falcons,Offensive Coordinator,Dirk Koetter
2014,55,NFL,Atlanta Falcons,Offensive Coordinator,Dirk Koetter
2015,56,NFL,Tampa Bay Buccaneers,Offensive Coordinator,Dirk Koetter
2016,57,NFL,Tampa Bay Buccaneers,Head Coach,Dirk Koetter
2017,58,NFL,Tampa Bay Buccaneers,Head Coach,Dirk Koetter
2018,59,NFL,Tampa Bay Buccaneers,Head Coach,Dirk Koetter
2019,60,NFL,Atlanta Falcons,Offensive Coordinator,Dirk Koetter
2020,61,NFL,Atlanta Falcons,Offensive Coordinator,Dirk Koetter
1982,23,NFL,Miami Dolphins,Wide Receivers,David Shula
1983,24,NFL,Miami Dolphins,Wide Receivers,David Shula
1984,25,NFL,Miami Dolphins,Wide Receivers,David Shula
1985,26,NFL,Miami Dolphins,Wide Receivers/QB,David Shula
1986,27,NFL,Miami Dolphins,Wide Receivers/QB,David Shula
1987,28,NFL,Miami Dolphins,Wide Receivers/QB,David Shula
1988,29,NFL,Miami Dolphins,Quarterbacks,David Shula
1989,30,NFL,Dallas Cowboys,Offensive Coordinator,David Shula
1990,31,NFL,Dallas Cowboys,Offensive Coordinator,David Shula
1991,32,NFL,Cincinnati Bengals,Wide Receivers,David Shula
1992,33,NFL,Cincinnati Bengals,Head Coach,David Shula
1993,34,NFL,Cincinnati Bengals,Head Coach,David Shula
1994,35,NFL,Cincinnati Bengals,Head Coach,David Shula
1995,36,NFL,Cincinnati Bengals,Head Coach,David Shula
1996,37,NFL,Cincinnati Bengals,Head Coach,David Shula
2018,59,College,Dartmouth,Wide Receivers,David Shula
1990,25,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1991,26,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1992,27,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1993,28,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1994,29,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1995,30,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1996,31,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1997,32,College (FBS),Michigan State,Tight Ends,Pat Shurmur
1998,33,College (FBS),Stanford,Offensive Line,Pat Shurmur
1999,34,NFL,Philadelphia Eagles,Tight Ends/Offensive Line,Pat Shurmur
2000,35,NFL,Philadelphia Eagles,Tight Ends/Offensive Line,Pat Shurmur
2001,36,NFL,Philadelphia Eagles,Tight Ends/Offensive Line,Pat Shurmur
2002,37,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2003,38,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2004,39,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2005,40,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2006,41,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2007,42,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2008,43,NFL,Philadelphia Eagles,Quarterbacks,Pat Shurmur
2009,44,NFL,St. Louis Rams,Offensive Coordinator,Pat Shurmur
2010,45,NFL,St. Louis Rams,Offensive Coordinator,Pat Shurmur
2011,46,NFL,Cleveland Browns,Head Coach,Pat Shurmur
2012,47,NFL,Cleveland Browns,Head Coach,Pat Shurmur
2013,48,NFL,Philadelphia Eagles,Offensive Coordinator,Pat Shurmur
2014,49,NFL,Philadelphia Eagles,Offensive Coordinator,Pat Shurmur
2015,50,NFL,Philadelphia Eagles,Offensive Coordinator/Interim Head Coach,Pat Shurmur
2016,51,NFL,Minnesota Vikings,Tight Ends/Interim Offensive Coordinator,Pat Shurmur
2017,52,NFL,Minnesota Vikings,Offensive Coordinator,Pat Shurmur
2018,53,NFL,New York Giants,Head Coach,Pat Shurmur
2019,54,NFL,New York Giants,Head Coach,Pat Shurmur
2020,55,NFL,Denver Broncos,Offensive Coordinator,Pat Shurmur
2021,56,NFL,Denver Broncos,Offensive Coordinator,Pat Shurmur
1955,41,College,Hardin-Simmons,Head Coach,Sammy Baugh
1956,42,College,Hardin-Simmons,Head Coach,Sammy Baugh
1957,43,College,Hardin-Simmons,Head Coach,Sammy Baugh
1958,44,College,Hardin-Simmons,Head Coach,Sammy Baugh
1959,45,College,Hardin-Simmons,Head Coach,Sammy Baugh
1960,46,NFL,New York Titans,Head Coach,Sammy Baugh
1961,47,NFL,New York Titans,Head Coach,Sammy Baugh
1963,49,College,Tulsa,Assistant Coach,Sammy Baugh
1964,50,NFL,Houston Oilers,Head Coach,Sammy Baugh
1965,51,NFL,Houston Oilers,Offensive Backfield,Sammy Baugh
1966,52,NFL,Detroit Lions,Offensive Backfield,Sammy Baugh
1980,24,College,Illinois,Graduate Assistant,Bill Callahan
1981,25,College,Illinois,Assistant Coach,Bill Callahan
1982,26,College,Illinois,Assistant Coach,Bill Callahan
1983,27,College,Illinois,Assistant Coach,Bill Callahan
1984,28,College,Illinois,Assistant Coach,Bill Callahan
1985,29,College,Illinois,Assistant Coach,Bill Callahan
1986,30,College,Illinois,Assistant Coach,Bill Callahan
1987,31,College,Northern Arizona University,Offensive Line,Bill Callahan
1988,32,College,Northern Arizona University,Offensive Line,Bill Callahan
1989,33,College,Southern Illinois,Offensive Coordinator,Bill Callahan
1990,34,College,Wisconsin,Offensive Line,Bill Callahan
1991,35,College,Wisconsin,Offensive Line,Bill Callahan
1992,36,College,Wisconsin,Offensive Line,Bill Callahan
1993,37,College,Wisconsin,Offensive Line,Bill Callahan
1994,38,College,Wisconsin,Offensive Line,Bill Callahan
1995,39,NFL,Philadelphia Eagles,Offensive Line,Bill Callahan
1996,40,NFL,Philadelphia Eagles,Offensive Line,Bill Callahan
1997,41,NFL,Philadelphia Eagles,Offensive Line,Bill Callahan
1998,42,NFL,Oakland Raiders,Offensive Coordinator/Tight Ends,Bill Callahan
1999,43,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line,Bill Callahan
2000,44,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line,Bill Callahan
2001,45,NFL,Oakland Raiders,Offensive Coordinator/Offensive Line,Bill Callahan
2002,46,NFL,Oakland Raiders,Head Coach,Bill Callahan
2003,47,NFL,Oakland Raiders,Head Coach,Bill Callahan
2004,48,College,Nebraska,Head Coach,Bill Callahan
2005,49,College,Nebraska,Head Coach,Bill Callahan
2006,50,College,Nebraska,Head Coach,Bill Callahan
2007,51,College,Nebraska,Head Coach,Bill Callahan
2008,52,NFL,New York Jets,Assistant Head Coach/Offensive Line,Bill Callahan
2009,53,NFL,New York Jets,Assistant Head Coach,Bill Callahan
2010,54,NFL,New York Jets,Assistant Head Coach,Bill Callahan
2011,55,NFL,New York Jets,Assistant Head Coach,Bill Callahan
2012,56,NFL,Dallas Cowboys,Offensive Coordinator/Offensive Line,Bill Callahan
2013,57,NFL,Dallas Cowboys,Offensive Coordinator,Bill Callahan
2014,58,NFL,Dallas Cowboys,Offensive Coordinator/Offensive Line,Bill Callahan
2015,59,NFL,Washington Redskins,Offensive Line,Bill Callahan
2016,60,NFL,Washington Redskins,Offensive Line,Bill Callahan
2017,61,NFL,Washington Redskins,Asst. HC/Offensive Line,Bill Callahan
2018,62,NFL,Washington Redskins,Asst. HC/Offensive Line,Bill Callahan
2019,63,NFL,Washington Redskins,Asst. HC/Offensive Line/Interim HC,Bill Callahan
2020,64,NFL,Cleveland Browns,Offensive Line,Bill Callahan
2021,65,NFL,Cleveland Browns,Offensive Line,Bill Callahan
1957,31,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1958,32,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1959,33,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1960,34,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1961,35,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1962,36,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1963,37,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1964,38,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1965,39,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1966,40,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1967,41,NFL,San Francisco 49ers,Offensive Line,Bill Johnson
1968,42,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1969,43,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1970,44,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1971,45,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1972,46,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1973,47,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1974,48,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1975,49,NFL,Cincinnati Bengals,Offensive Line,Bill Johnson
1976,50,NFL,Cincinnati Bengals,Head Coach,Bill Johnson
1977,51,NFL,Cincinnati Bengals,Head Coach,Bill Johnson
1978,52,NFL,Cincinnati Bengals,Head Coach,Bill Johnson
1979,53,NFL,Tampa Bay Buccaneers,Offensive Line,Bill Johnson
1980,54,NFL,Tampa Bay Buccaneers,Offensive Line,Bill Johnson
1981,55,NFL,Tampa Bay Buccaneers,Offensive Line,Bill Johnson
1982,56,NFL,Tampa Bay Buccaneers,Offensive Line,Bill Johnson
1983,57,NFL,Detroit Lions,Offensive Line,Bill Johnson
1984,58,NFL,Detroit Lions,Offensive Line,Bill Johnson
1985,59,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1986,60,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1987,61,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1988,62,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1989,63,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1990,64,NFL,Cincinnati Bengals,Tight Ends,Bill Johnson
1981,22,College,Oregon,Graduate Assistant,Mike Nolan
1982,23,College,Stanford,Linebackers/Defensive Backs,Mike Nolan
1983,24,College,Stanford,Linebackers/Defensive Backs,Mike Nolan
1984,25,College,Rice,Linebackers/Defensive Backs,Mike Nolan
1985,26,College,Rice,Linebackers/Defensive Backs,Mike Nolan
1986,27,College,Louisiana State,Linebackers,Mike Nolan
1987,28,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1988,29,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1989,30,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1990,31,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1991,32,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1992,33,NFL,Denver Broncos,Special Teams/Linebackers,Mike Nolan
1993,34,NFL,New York Giants,Defensive Coordinator,Mike Nolan
1994,35,NFL,New York Giants,Defensive Coordinator,Mike Nolan
1995,36,NFL,New York Giants,Defensive Coordinator,Mike Nolan
1996,37,NFL,New York Giants,Defensive Coordinator,Mike Nolan
1997,38,NFL,Washington Redskins,Defensive Coordinator,Mike Nolan
1998,39,NFL,Washington Redskins,Defensive Coordinator,Mike Nolan
1999,40,NFL,Washington Redskins,Defensive Coordinator,Mike Nolan
2000,41,NFL,New York Jets,Defensive Coordinator,Mike Nolan
2001,42,NFL,Baltimore Ravens,Wide Receivers,Mike Nolan
2002,43,NFL,Baltimore Ravens,Defensive Coordinator,Mike Nolan
2003,44,NFL,Baltimore Ravens,Defensive Coordinator,Mike Nolan
2004,45,NFL,Baltimore Ravens,Defensive Coordinator,Mike Nolan
2005,46,NFL,San Francisco 49ers,Head Coach,Mike Nolan
2006,47,NFL,San Francisco 49ers,Head Coach,Mike Nolan
2007,48,NFL,San Francisco 49ers,Head Coach,Mike Nolan
2008,49,NFL,San Francisco 49ers,Head Coach,Mike Nolan
2009,50,NFL,Denver Broncos,Defensive Coordinator,Mike Nolan
2010,51,NFL,Miami Dolphins,Defensive Coordinator,Mike Nolan
2011,52,NFL,Miami Dolphins,Defensive Coordinator,Mike Nolan
2012,53,NFL,Atlanta Falcons,Defensive Coordinator,Mike Nolan
2013,54,NFL,Atlanta Falcons,Defensive Coordinator,Mike Nolan
2014,55,NFL,Atlanta Falcons,Defensive Coordinator,Mike Nolan
2015,56,NFL,San Diego Chargers,Linebackers,Mike Nolan
2017,58,NFL,New Orleans Saints,Linebackers,Mike Nolan
2018,59,NFL,New Orleans Saints,Linebackers,Mike Nolan
2019,60,NFL,New Orleans Saints,Linebackers,Mike Nolan
2020,61,NFL,Dallas Cowboys,Defensive Coordinator,Mike Nolan
1961,27,Junior College,Fresno CC,Defensive Backs,Darryl Rogers
1962,28,Junior College,Fresno CC,Defensive Backs,Darryl Rogers
1963,29,Junior College,Fresno CC,Defensive Backs,Darryl Rogers
1964,30,Junior College,Fresno CC,Defensive Backs,Darryl Rogers
1965,31,College,Cal State Hayward,Head Coach,Darryl Rogers
1966,32,College,Fresno State,Head Coach,Darryl Rogers
1967,33,College,Fresno State,Head Coach,Darryl Rogers
1968,34,College,Fresno State,Head Coach,Darryl Rogers
1969,35,College,Fresno State,Head Coach,Darryl Rogers
1970,36,College,Fresno State,Head Coach,Darryl Rogers
1971,37,College,Fresno State,Head Coach,Darryl Rogers
1972,38,College,Fresno State,Head Coach,Darryl Rogers
1973,39,College (NCAA D-I),San Jose State,Head Coach,Darryl Rogers
1974,40,College (NCAA D-I),San Jose State,Head Coach,Darryl Rogers
1975,41,College (NCAA D-I),San Jose State,Head Coach,Darryl Rogers
1976,42,College (NCAA D-I),Michigan State,Head Coach,Darryl Rogers
1977,43,College (NCAA D-I),Michigan State,Head Coach,Darryl Rogers
1978,44,College (FBS),Michigan State,Head Coach,Darryl Rogers
1979,45,College (FBS),Michigan State,Head Coach,Darryl Rogers
1980,46,College (FBS),Arizona State,Head Coach,Darryl Rogers
